"Civil War Onsets, by Technology of Rebellion (1944-Present)",,,,,,,,,,,,
Technology of Rebellion,Cold War,,,Post-Cold War,,,Social Media Era,,,All Periods,,
,Number (1944-1990),Relative Frequency (1944-1990),Rate Per Year (1944-1990),Number (1991-2004),Relative Frequency (1991-2004),Rate Per Year (1991-2004),Number (2004-2023),Relative Frequency (2004-2023),Rate Per Year (2004-2023),Number (1944-2023),Relative Frequenct (1944-2023),Rate Per Year (1944-2023)
Symmetric Conventional,28,27.72%,0.61,22,47.83%,1.69,2,16.67%,0.11,52,32.70%,0.66
Irregular,67,66.24%,1.46,12,26.09%,0.92,8,66.67%,0.42,87,54.72%,1.10
Symmetric Non-Conventional,6,5.94%,0.13,12,26.09%,0.92,2,25.00%,0.11,20,13.21%,0.25
Total,101,100%,2.20,46,100%,3.54,12,100%,0.63,159,100%,2.01
,,,,,,,,,,,,
Year,Number,,,,,,,,,,,
1944,0,,,,,,,,,,,
1945,0,,,,,,,,,,,
1946,0,,,,,,,,,,,
1947,3,,,,,,,,,,,
1948,4,,,,,,,,,,,
1949,3,,,,,,,,,,,
1950,2,,,,,,,,,,,
1951,2,,,,,,,,,,,
1952,1,,,,,,,,,,,
1953,0,,,,,,,,,,,
1954,1,,,,,,,,,,,
1955,0,,,,,,,,,,,
1956,1,,,,,,,,,,,
1957,3,,,,,,,,,,,
1958,1,,,,,,,,,,,
1959,0,,,,,,,,,,,
1960,1,,,,,,,,,,,
1961,1,,,,,,,,,,,
1962,2,,,,,,,,,,,
1963,2,,,,,,,,,,,
1964,3,,,,,,,,,,,
1965,0,,,,,,,,,,,
1966,1,,,,,,,,,,,
1967,3,,,,,,,,,,,
1968,3,,,,,,,,,,,
1969,3,,,,,,,,,,,
1970,1,,,,,,,,,,,
1971,1,,,,,,,,,,,
1972,4,,,,,,,,,,,
1973,0,,,,,,,,,,,
1974,1,,,,,,,,,,,
1975,2,,,,,,,,,,,
1976,4,,,,,,,,,,,
1977,0,,,,,,,,,,,
1978,0,,,,,,,,,,,
1979,1,,,,,,,,,,,
1980,0,,,,,,,,,,,
1981,1,,,,,,,,,,,
1982,1,,,,,,,,,,,
1983,2,,,,,,,,,,,
1984,3,,,,,,,,,,,
1985,2,,,,,,,,,,,
1986,1,,,,,,,,,,,
1987,2,,,,,,,,,,,
1988,2,,,,,,,,,,,
1989,2,,,,,,,,,,,
1990,9,,,,,,,,,,,
1991,7,,,,,,,,,,,
1992,4,,,,,,,,,,,
1993,8,,,,,,,,,,,
1994,5,,,,,,,,,,,
1995,5,,,,,,,,,,,
1996,8,,,,,,,,,,,
1997,1,,,,,,,,,,,
1998,7,,,,,,,,,,,
1999,0,,,,,,,,,,,
2000,2,,,,,,,,,,,
2001,4,,,,,,,,,,,
2002,1,,,,,,,,,,,
2003,0,,,,,,,,,,,
2004,1,,,,,,,,,,,
2005,1,,,,,,,,,,,
2006,1,,,,,,,,,,,
2007,0,,,,,,,,,,,
2008,0,,,,,,,,,,,
2009,0,,,,,,,,,,,
2010,0,,,,,,,,,,,
2011,3,,,,,,,,,,,
2012,1,,,,,,,,,,,
2013,1,,,,,,,,,,,
2014,2,,,,,,,,,,,
2015,0,,,,,,,,,,,
2016,0,,,,,,,,,,,
2017,0,,,,,,,,,,,
2018,0,,,,,,,,,,,
2019,0,,,,,,,,,,,
2020,1,,,,,,,,,,,
2021,1,,,,,,,,,,,
2022,0,,,,,,,,,,,
2023,0,,,,,,,,,,,
